id,user_id,page_name,page_path,session_id,ip_address,user_agent,viewed_at,duration_seconds,left_at
66,1,Settings,/settings,session-1754405338534-fs74752rf,,,2025-08-05T14:50:32.020000,,
67,1,Settings,/settings,session-1754405490202-edkab0oo3,,,2025-08-05T14:52:08.400000,,
68,1,Settings,/settings,session-1754405490202-edkab0oo3,,,2025-08-05T14:52:08.813333,,
69,1,Settings,/settings,session-1754405490202-edkab0oo3,,,2025-08-05T14:52:12.130000,,
70,1,Settings,/settings,session-1754407876147-jju3bwk6a,,,2025-08-05T15:31:18.663333,,
71,1,Settings,/settings,session-1754407876147-jju3bwk6a,,,2025-08-05T15:32:49.700000,,
72,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:34:23.816666,,
73,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:35:54.516666,,
74,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:37:26.276666,,
75,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:37:27.150000,,
76,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:38:57.743333,,
77,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:38:58.823333,,
78,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:38:59.250000,,
79,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:38:59.706666,,
80,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:39:03.156666,,
81,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:40:33.746666,,
82,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:04.813333,,
83,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:20.836666,,
84,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:21.273333,,
85,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:22.153333,,
86,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:37.770000,,
87,1,Settings,/settings,session-1754407982968-40tqy0lhk,,,2025-08-05T15:42:38.186666,,
